web-scraper-start-url,Name,Constellation,Right ascension,Declination,Apparent magnitude,Distance,Proper motion RA,Proper motion Dec,B-T magnitude,V-T magnitude,Proper names,HD,TYCHO-2 2000,USNO-A2.0,BSC,HIP
https://server6.sky-map.org/starview?object_type=1&object_id=201&object_name=HD+1,α CMa (Sirius),Canis Major,06h45m08.90s,-16Â°42'58.0",-1.46,2.637 parsecs,,,,,,,,USNO-A2 0675-03794660,,
https://server6.sky-map.org/starview?object_type=1&object_id=202&object_name=HD+1,α Car (Canopus),Carina,06h23m57.10s,-52Â°41'45.0",-0.72,95.877 parsecs,,,,,,,,USNO-A2 0300-02199973,,
https://server6.sky-map.org/starview?object_type=1&object_id=203&object_name=HD+1,α Boo (Arcturus),Bootes,14h15m39.70s,+19Â°10'57.0",-0.04,11.255 parsecs,,,,,,,,USNO-A2 1050-07132157,,
https://server6.sky-map.org/starview?object_type=1&object_id=204&object_name=HD+1,αα Cen (Rigil Kentaurus),Centaurus,14h39m35.90s,-60Â°50'07.0",-0.01,1.347 parsecs,,,,,,,,,,
https://server6.sky-map.org/starview?object_type=1&object_id=205&object_name=HD+1,α Lyr (Vega),Lyra,18h36m56.30s,+38Â°47'01.0",0.03,7.756 parsecs,,,,,,,,USNO-A2 1275-10180294,,
https://server6.sky-map.org/starview?object_type=1&object_id=206&object_name=HD+1,α Aur (Capella),Auriga,05h16m41.40s,+45Â°59'53.0",0.08,12.938 parsecs,,,,,,,,USNO-A2 1350-05576597,,
https://server6.sky-map.org/starview?object_type=1&object_id=207&object_name=HD+1,β Ori (Rigel),Orion,05h14m32.30s,-08Â°12'06.0",0.12,236.967 parsecs,,,,,,,,USNO-A2 0750-01279599,,
https://server6.sky-map.org/starview?object_type=1&object_id=208&object_name=HD+1,α CMi (Procyon),Canis Minor,07h39m18.10s,+05Â°13'30.0",0.38,3.497 parsecs,,,,,,,,USNO-A2 0900-05243367,,
https://server6.sky-map.org/starview?object_type=1&object_id=209&object_name=HD+1,α Eri (Achernar),Eridanus,01h37m42.90s,-57Â°14'12.0",0.46,44.092 parsecs,,,,,,,,USNO-A2 0300-00493347,,
https://server6.sky-map.org/starview?object_type=1&object_id=210&object_name=HD+1,α Ori (Betelgeuse),Orion,05h55m10.30s,+07Â°24'25.0",0.5,131.062 parsecs,,,,,,,,USNO-A2 0900-02066706,,
https://server6.sky-map.org/starview?object_type=1&object_id=211&object_name=HD+1,β Cen (Hadar),Centaurus,14h03m49.40s,-60Â°22'23.0",0.61,161.031 parsecs,,,,,,,,USNO-A2 0225-19032388,,
https://server6.sky-map.org/starview?object_type=1&object_id=212&object_name=HD+1,α Aql (Altair),Aquila,19h50m47.00s,+08Â°52'06.0",0.77,5.143 parsecs,,,,,,,,USNO-A2 0975-16759333,,
